iter	R2	RMSE
0	0.1596649801	3527.059516
1	0.2905370834	3240.793855
2	0.3967846158	2988.290136
3	0.4840278497	2763.755929
4	0.5581225596	2557.628552
5	0.6171077292	2380.81065
6	0.6661309171	2223.180164
7	0.7062951696	2085.173041
8	0.7396979165	1963.022958
9	0.7675541872	1855.014977
10	0.7906489689	1760.451678
11	0.8100721541	1676.798505
12	0.8261013957	1604.481097
13	0.839646656	1540.726553
14	0.8509920807	1485.221515
15	0.8607358833	1435.840408
16	0.8688216314	1393.534322
17	0.8764064959	1352.646707
18	0.8822996392	1320.004628
19	0.8874985472	1290.522623
20	0.8925948365	1260.95369
21	0.8968045833	1235.995135
22	0.9013990049	1208.167658
23	0.9045488717	1188.713213
24	0.9073730771	1170.995363
25	0.9103217965	1152.205666
26	0.9131811222	1133.688237
27	0.9152638132	1120.007717
28	0.9177014014	1103.780651
29	0.9196240175	1090.81149
30	0.9211275429	1080.560884
31	0.9225063537	1071.074315
32	0.9237477582	1062.460676
33	0.9249022586	1054.386883
34	0.9260155555	1046.542249
35	0.9272117353	1038.04753
36	0.9282243795	1030.801483
37	0.9290054898	1025.177204
38	0.9297358467	1019.890309
39	0.9305854916	1013.70522
40	0.931203464	1009.182806
41	0.9318697764	1004.283815
42	0.932515824	999.510893
43	0.9334320144	992.7028399
44	0.9338794602	989.3609208
45	0.9343717552	985.6709376
46	0.9350065828	980.8921129
47	0.9355651832	976.667769
48	0.9363936681	970.3685941
49	0.9368212416	967.1015962
50	0.9374718057	962.109494
51	0.938046973	957.6742761
52	0.9383969775	954.9652477
53	0.9388168501	951.7052668
54	0.939189993	948.7987053
55	0.9397393942	944.5029171
56	0.9400743416	941.874337
57	0.9405259334	938.3187058
58	0.9409877234	934.6687903
59	0.9413323664	931.9354716
60	0.9415804243	929.9631843
61	0.9419575053	926.9570079
62	0.9422748851	924.4192054
63	0.9427239588	920.8164158
64	0.9429547961	918.9589784
65	0.9432187881	916.8301477
66	0.9435954872	913.78386
67	0.9438054071	912.0818668
68	0.9441016913	909.6742278
69	0.9444086222	907.1733338
70	0.9446616013	905.1068478
71	0.9448166247	903.8381886
72	0.9450120644	902.2362336
73	0.9452649947	900.1588156
74	0.9454928382	898.2833318
75	0.9457887753	895.8414769
76	0.9459832288	894.2333593
77	0.9461669549	892.7112958
78	0.9464054138	890.7319238
79	0.946710742	888.1910513
80	0.9468948913	886.6550828
81	0.9471275283	884.7108701
82	0.9473234858	883.0698776
83	0.9475317735	881.3222798
84	0.9476462683	880.3601553
85	0.9478507146	878.6395285
86	0.9480146202	877.2576567
87	0.9481236735	876.3370321
88	0.9483531703	874.3964597
