iter	Passed	Remaining
0	38	38330
1	71	35740
2	106	35415
3	141	35185
4	173	34555
5	208	34551
6	245	34765
7	279	34681
8	310	34144
9	340	33741
10	372	33452
11	403	33237
12	436	33169
13	467	32949
14	500	32848
15	537	33068
16	580	33580
17	626	34163
18	670	34632
19	714	35025
20	754	35162
21	786	34976
22	817	34722
23	847	34459
24	876	34166
25	906	33973
26	963	34712
27	1003	34836
28	1033	34600
29	1061	34318
30	1087	34000
31	1117	33799
32	1145	33562
33	1173	33349
34	1207	33292
35	1251	33524
36	1318	34306
37	1356	34330
38	1385	34134
39	1412	33888
40	1438	33648
41	1467	33473
42	1494	33253
43	1521	33061
44	1547	32833
45	1572	32620
46	1602	32488
47	1629	32327
48	1656	32154
49	1681	31944
50	1708	31790
51	1735	31640
52	1760	31464
53	1788	31339
54	1818	31253
55	1850	31192
56	1878	31083
57	1910	31033
58	1940	30949
59	1969	30856
60	1994	30703
61	2023	30607
62	2051	30507
63	2079	30405
64	2105	30280
65	2143	30330
66	2179	30353
67	2213	30340
68	2252	30397
69	2290	30427
70	2325	30422
71	2355	30365
72	2385	30288
73	2414	30217
74	2443	30137
75	2473	30073
76	2501	29991
77	2531	29924
78	2559	29838
79	2585	29737
80	2614	29660
81	2642	29577
82	2671	29511
83	2698	29423
84	2724	29330
85	2756	29297
86	2784	29216
87	2808	29101
88	2840	29077
89	2870	29025
90	2902	28992
91	2933	28951
92	2964	28908
93	2990	28823
94	3020	28777
95	3051	28738
96	3078	28660
97	3107	28603
98	3132	28508
99	3158	28428
100	3185	28357
101	3215	28306
102	3243	28244
103	3272	28195
104	3300	28131
105	3327	28066
106	3357	28022
107	3385	27963
108	3414	27911
109	3443	27858
110	3474	27825
111	3502	27770
112	3530	27710
113	3555	27636
114	3586	27599
115	3615	27552
116	3642	27492
117	3670	27437
118	3699	27389
119	3727	27336
120	3755	27284
121	3783	27228
122	3811	27176
123	3839	27124
124	3865	27059
125	3895	27024
126	3920	26946
127	3948	26900
128	3976	26845
129	4009	26830
130	4036	26779
131	4067	26745
132	4093	26686
133	4117	26611
134	4146	26565
